,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
120,82500,Kamenjar,Alaska 11,2.5,podno grejanje,prazno,ima lift (1),"kablovska, video nadzor, klima, centralna klima, ventilacija",50,nije uknjiženo,u izgradnji,useljivo,2020,1/2
121,113300,Detelinara,Detelinara,2,centralno grejanje,polunamešteno,ima lift (1),Kanalizacija,59,uknjiženo,novo,useljivo,2020,1/5
122,69000, Detelinara,Nova Detelinara,2,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, frižider, šporet, ležaj, Kanalizacija",26,uknjiženo,novo,useljivo,2020,3/5
123,78280,Sajmište,Sajmište,1.5,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, frižider, šporet, ležaj, Kanalizacija",42,uknjiženo,novo,useljivo,2020,1/5
124,2050,Detelinara,Orlovica Pavla,1.5,grejanje na gas,prazno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, frižider, šporet, ležaj, Kanalizacija",40,uknjiženo,u izgradnji,useljivo,2020,1/5
125,61800, Novo Naselje,Futoški put,3,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, frižider, šporet, ležaj, Kanalizacija",48,uknjiženo,uobičajeno stanje,useljivo,2020,1/5
126,131840, Detelinara,Nova Detelinara,3,podno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",64,uknjiženo,novo,useljivo,2020,1/5
127,97965,Veternik,Veternik,3,podno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",76,uknjiženo,novo,useljivo,2020,1/2
128,169950, Liman,Liman 3,3,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, sudo mašina, frižider, šporet, Kanalizacija",72,uknjiženo,renovirano,useljivo,2020,1/9
129,97850,Bulevar Oslobođenja,Bulevar Oslobođenja,1.5,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, sudo mašina, frižider, šporet, Kanalizacija",42,uknjiženo,uobičajeno stanje,useljivo,2020,4/5
130,69000,Sajmište,Sajmište,1,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, klima, Kanalizacija",37,uknjiženo,uobičajeno stanje,useljivo,2020,5/6
131,87550,Grbavica,Grbavica,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, frižider, šporet, ležaj, Kanalizacija",39,uknjiženo,novo,useljivo,2020,visoko
132,87000,Detelinara,Detelinara,2,centralno grejanje,prazno,ima lift (1),Kanalizacija,50,uknjiženo,novo,useljivo,2020,visoko
133,80000, Rotkvarija,Socijalno,1.5,centralno grejanje,prazno,ima lift (1),Kanalizacija,34,uknjiženo,uobičajeno stanje,useljivo,2010,1/6
134,88000, Telep,Heroja Pinkija,2.5,grejanje na gas,namešteno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",69,uknjiženo,novo,useljivo,2010,prizemlje/2
135,87000, Rotkvarija,Socijalno,2,centralno grejanje,prazno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",52,uknjiženo,potrebno renoviranje,useljivo,2010,prizemlje/1
136,99700,Petrovaradin,Petrovaradin,2,centralno grejanje,prazno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",40,uknjiženo,potrebno renoviranje,useljivo,2010,1/4
137,145000, Stari Grad,Đorđa kodera 1,3,centralno grejanje,prazno,ima lift (2),"telefon, kablovska, video nadzor, TV, klima, centralna klima",66,u procesu uknjižavanja,novo,useljivo,2010,3/6
138,231750,Stari Grad,Stari Grad,2.5,centralno grejanje,polunamešteno,ima lift (1),klima,75,uknjiženo,uobičajeno stanje,useljivo,2010,5/11
139,57200,Salajka,Radoja Domanovića,1.5,grejanje na gas,prazno,ima lift (1),"telefon, interfon",27,uknjiženo,novo,useljivo,2010,prizemlje
140,117000, Stari Grad,Novi Sad - Centar,3,centralno grejanje,prazno,ima lift (1),"telefon, interfon",60,uknjiženo,novo,useljivo,2010,2/4
141,92000, Stari Grad,Novi Sad - Centar,1.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon",46,uknjiženo,novo,useljivo,2010,2/4
142,84460, Stari Grad,Novi Sad - Centar,1.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon",41,uknjiženo,novo,useljivo,2010,1/4
143,325000,Grbavica,Gogoljeva,3,centralno grejanje,namešteno,ima lift (1),"telefon, klima",145,uknjiženo,novo,useljivo,2010,5.
144,140000,Grbavica,Grbavica,3,centralno grejanje,namešteno,ima lift (1),"telefon, klima",65,uknjiženo,novo,useljivo,2010,1/3
145,87550, Stari Grad,Centar,1,centralno grejanje,namešteno,ima lift (1),"telefon, klima",29,uknjiženo,novo,useljivo,2010,4/5
146,80000,Bulevar Oslobođenja,Bulevar Oslobođenja,2,centralno grejanje,prazno,ima lift (1),"telefon, klima",42,uknjiženo,uobičajeno stanje,useljivo,2010,3/3
147,113300, Stari Grad,Kej,2,centralno grejanje,prazno,ima lift (1),"telefon, klima",55,uknjiženo,uobičajeno stanje,useljivo,2010,2/2
148,153850, Detelinara,Dr Svetislava Kasapinovića,2,grejanje na gas,namešteno,ima lift (1),"telefon, klima",44,uknjiženo,uobičajeno stanje,useljivo,2010,4/6
149,76000, Rotkvarija,Socijalno,3,centralno grejanje,prazno,ima lift (1),kablovska,76,uknjiženo,novo,useljivo,2010,suteren/5
150,140000, Detelinara,Nova Detelinara,4.5,centralno grejanje,prazno,ima lift (1),kablovska,98,uknjiženo,uobičajeno stanje,useljivo,2011,3/3
151,127720, Banatić,Železnička stanica,3,centralno grejanje,namešteno,ima lift (1),kablovska,80,uknjiženo,renovirano,useljivo,2011,8/15
