Id,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
788,2.0,Rotkvarija,vojvode supljikca,1,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",27,uknjiženo,renovirano,useljivo,2008,1
789,4.0,Grbavica,Grbavica,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",56,uknjiženo,renovirano,useljivo,2008,2
790,9.0,Stari Grad,Kej,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",69,uknjiženo,renovirano,useljivo,2008,5
791,3.0,Rotkvarija,lukijana musickog,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",36,uknjiženo,renovirano,useljivo,2008,2
792,8.0,Stari Grad,Centar,3,grejanje na struju,namešteno,ima lift (1),"telefon, kablovska",109,uknjiženo,renovirano,useljivo,2008,2
793,4.0,Liman,BUL.CARA LAZARA,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",34,uknjiženo,renovirano,useljivo,2008,2
794,6.0,Sajmište,janka cmelika,5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",95,uknjiženo,renovirano,useljivo,2008,5
795,4.0,Liman,balzakova,2,centralno grejanje,prazno,ima lift (2),"telefon, kablovska",57,uknjiženo,renovirano,useljivo,2008,4
796,17.0,Bulevar Evrope,Bulevar Evrope,5,grejanje na gas,prazno,ima lift (2),"telefon, kablovska",149,uknjiženo,u izgradnji,useljivo,2008,1
797,5.0,Sremska Kamenica,Sremska Kamenica,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",50,uknjiženo,uobičajeno stanje,useljivo,2008,1
798,5.0,Sremska Kamenica,Sremska Kamenica,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",50,uknjiženo,uobičajeno stanje,useljivo,2021,2
799,2.0,Stari Grad,Stari Grad,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",36,uknjiženo,uobičajeno stanje,useljivo,2021,2
800,5.0,Detelinara,Nova Detelinara,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",82,uknjiženo,uobičajeno stanje,useljivo,2006,5
801,1.0,Stari Grad,Centar,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",19,uknjiženo,u izgradnji,useljivo,2014,suteren
802,2.0,Adice,Adice,2,etažno grejanje,prazno,ima lift (1),"telefon, kablovska",63,uknjiženo,uobičajeno stanje,useljivo,2014,2
803,23.0,Stari Grad,Spens,7,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",302,uknjiženo,luksuzno,useljivo,2014,4
804,1.0,Stari Grad,Centar,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",19,uknjiženo,u izgradnji,useljivo,2014,suteren
805,3.0,Stari Grad,Centar,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",37,uknjiženo,u izgradnji,useljivo,2020,visoko
806,3.0,Novo Naselje,Novo Naselje,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet",43,uknjiženo,renovirano,useljivo,2020,1
807,2.0,Veternik,Blok Milana Tepića,2.5,etažno grejanje,prazno,ima lift (1),"telefon, kablovska, veš mašina, frižider, rerna",54,uknjiženo,novo,useljivo,2020,prizemlje
808,5.0,Sremska Kamenica,"SREMSKA KAMENICA, SREMSKA KAMENICA",2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, veš mašina, frižider, rerna",50,uknjiženo,novo,useljivo,2020,2
809,4.0,Detelinara,Nova Detelinara,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, veš mašina, frižider, rerna",45,uknjiženo,novo,useljivo,2020,2
810,6.0,Sajmište,"SAJAM, NOVI SAD",3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, veš mašina, frižider, rerna",68,uknjiženo,novo,useljivo,2020,1
811,4.0,Detelinara,Nova Detelinara,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, veš mašina, frižider, rerna",45,uknjiženo,novo,useljivo,2020,2
812,4.0,Stari Grad,Centar,1.5,grejanje na struju,prazno,ima lift (1),"telefon, kablovska, veš mašina, frižider, rerna",48,nije uknjiženo,novo,useljivo,2020,1
813,4.0,Stari Grad,Centar,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, veš mašina, frižider, rerna",40,nije uknjiženo,novo,useljivo,2020,4
814,3.0,Sajmište,Sajmište,1,centralno grejanje,prazno,ima lift (1),interfon,37,uknjiženo,novo,useljivo,2020,5
815,3.0,Grbavica,Miše Dimitrijevića,1.5,centralno grejanje,namešteno,ima lift (1),interfon,40,nije uknjiženo,novo,useljivo,2020,4
816,5.0,Detelinara,Nova Detelinara,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",82,uknjiženo,uobičajeno stanje,useljivo,2008,5
817,4.0,Telep,Telep,4,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",64,uknjiženo,u izgradnji,useljivo,2013,prizemlje
818,7.0,Stari Grad,Kej,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",86,uknjiženo,uobičajeno stanje,useljivo,1935,visoko
819,5.0,Novo Naselje,Novo Naselje,4,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",92,uknjiženo,uobičajeno stanje,useljivo,1996,2
820,5.0,Novo Naselje,Novo Naselje,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",90,uknjiženo,uobičajeno stanje,useljivo,1996,2
821,6.0,Banatić,Železnička stanica,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",62,uknjiženo,uobičajeno stanje,useljivo,1996,3
822,3.0,Adice,Adice,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",53,uknjiženo,u izgradnji,useljivo,2022,1
