Index,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor,YearOfBuildWasNan
324,128750,Stari Grad,Centar,3.0,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",76,uknjiženo,uobičajeno stanje,useljivo,1970.0,4,0
325,168100,Adamovićevo Naselje,Adamovićevo Naselje,4.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",102,uknjiženo,novo,useljivo,2007.0,5,0
326,106605,Stari Grad,Centar,3.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",69,uknjiženo,uobičajeno stanje,useljivo,1997.0,3,0
327,126975,Petrovaradin,Petrovaradin,3.5,centralno grejanje,prazno,ima lift (1),telefon,96,nije uknjiženo,u izgradnji,useljivo,2021.0,Rare_var,0
328,110000,Stari Grad,Centar,2.0,centralno grejanje,prazno,ima lift (1),telefon,69,uknjiženo,u izgradnji,useljivo,2006.0,2,0
329,109000,Sajmište,Sajmište,2.5,centralno grejanje,prazno,ima lift (1),telefon,59,uknjiženo,uobičajeno stanje,useljivo,2007.0,1,0
330,84500,Detelinara,Nova Detelinara,2.0,centralno grejanje,prazno,ima lift (1),kablovska,42,uknjiženo,uobičajeno stanje,useljivo,2005.0,4,0
331,51500,Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,prazno,ima lift (1),kablovska,49,uknjiženo,uobičajeno stanje,useljivo,2017.0,prizemlje,0
332,56700,Detelinara,Nova Detelinara,1.0,centralno grejanje,prazno,ima lift (1),kablovska,27,uknjiženo,uobičajeno stanje,useljivo,2005.0,1,0
333,235930,Bulevar Evrope,Bulevar Evrope,4.0,centralno grejanje,prazno,ima lift (1),kablovska,97,nije uknjiženo,uobičajeno stanje,useljivo,2005.0,visoko,0
334,235930,Bulevar Evrope,Bulevar Evrope,5.0,centralno grejanje,prazno,ima lift (1),kablovska,97,nije uknjiženo,uobičajeno stanje,useljivo,2005.0,2,0
335,96850,Telep,Telep,1.0,grejanje na gas,prazno,ima lift (1),Rare_var,38,nije uknjiženo,novo,useljivo,2005.0,1,0
336,149000,Stari Grad,Centar,2.0,centralno grejanje,prazno,ima lift (1),Rare_var,50,nije uknjiženo,novo,useljivo,2005.0,2,0
337,187000,Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),6.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon",156,uknjiženo,novo,useljivo,2020.0,4,0
338,417000,Stari Grad,Centar,5.0,centralno grejanje,prazno,ima lift (1),Rare_var,160,uknjiženo,novo,useljivo,2020.0,1,0
339,150000,Grbavica,Grbavica,2.0,centralno grejanje,namešteno,ima lift (1),Rare_var,54,uknjiženo,novo,useljivo,2020.0,4,0
340,93750,Detelinara,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",51,uknjiženo,novo,useljivo,2020.0,1,0
341,141110,Novo Naselje,Novo Naselje,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",91,uknjiženo,uobičajeno stanje,useljivo,1996.0,visoko,0
342,55200,Petrovaradin,Petrovaradin,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",27,uknjiženo,u izgradnji,useljivo,2020.0,3,0
343,112000,Petrovaradin,Petrovaradin,3.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",57,uknjiženo,u izgradnji,useljivo,2020.0,3,0
344,114000,Bulevar Evrope,Bulevar Evrope,2.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",50,uknjiženo,uobičajeno stanje,useljivo,2020.0,visoko,0
345,98600,Rotkvarija,Socijalno,2.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",58,uknjiženo,uobičajeno stanje,useljivo,2020.0,5,0
346,80800,Petrovaradin,Petrovaradin,2.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",40,uknjiženo,u izgradnji,useljivo,2020.0,2,0
347,54350,Petrovaradin,Petrovaradin,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",27,uknjiženo,u izgradnji,useljivo,2020.0,2,0
348,55200,Petrovaradin,Petrovaradin,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",27,uknjiženo,u izgradnji,useljivo,2020.0,2,0
349,112000,Petrovaradin,Petrovaradin,3.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",57,uknjiženo,u izgradnji,useljivo,2020.0,2,0
350,139900,Petrovaradin,Petrovaradin,4.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",71,uknjiženo,u izgradnji,useljivo,2020.0,2,0
351,71120,Petrovaradin,Petrovaradin,2.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",35,uknjiženo,u izgradnji,useljivo,2020.0,2,0
352,146050,Petrovaradin,Petrovaradin,4.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",74,uknjiženo,u izgradnji,useljivo,2020.0,2,0
353,70500,Petrovaradin,Petrovaradin,2.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",35,uknjiženo,u izgradnji,useljivo,2020.0,3,0
354,80350,Petrovaradin,Petrovaradin,2.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",40,uknjiženo,u izgradnji,useljivo,2020.0,3,0
355,129800,Petrovaradin,Petrovaradin,3.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",64,uknjiženo,u izgradnji,useljivo,2020.0,3,0
356,54350,Petrovaradin,Petrovaradin,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",27,uknjiženo,u izgradnji,useljivo,2020.0,3,0
357,120700,Rotkvarija,Socijalno,3.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",71,uknjiženo,u izgradnji,useljivo,2020.0,5,0
358,215270,Grbavica,Grbavica,4.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",106,uknjiženo,u izgradnji,useljivo,2020.0,2,0
359,153985,Novo Naselje,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",62,uknjiženo,uobičajeno stanje,useljivo,2020.0,4,0
360,80430,Adice,Adice,2.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",49,uknjiženo,u izgradnji,useljivo,2020.0,2,0
361,51500,Bulevar Oslobođenja,Bulevar Oslobođenja,1.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",35,uknjiženo,uobičajeno stanje,useljivo,2020.0,suteren,0
362,340000,Stari Grad,Centar,4.0,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",136,uknjiženo,uobičajeno stanje,useljivo,1930.0,4,0
363,262000,Novo Naselje,Novo Naselje,4.0,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",127,uknjiženo,u izgradnji,useljivo,1930.0,1,0
364,144000,Liman,Liman 3,3.0,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",77,uknjiženo,uobičajeno stanje,useljivo,1975.0,4,0
365,295000,Telep,Telep,3.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",99,uknjiženo,u izgradnji,useljivo,2022.0,2,0
366,154500,Bulevar Oslobođenja,Bulevar Oslobođenja,4.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",80,uknjiženo,u izgradnji,useljivo,2022.0,6,0
367,550000,Bulevar Oslobođenja,Bulevar Oslobođenja,7.0,podno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",204,u procesu uknjižavanja,u izgradnji,useljivo,2021.0,2,0
368,309000,Bulevar Oslobođenja,Bulevar Oslobođenja,4.0,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",202,uknjiženo,u izgradnji,useljivo,2008.0,3,0
369,190550,Stari Grad,Rare_var,4.0,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",86,uknjiženo,u izgradnji,useljivo,2008.0,3,0
370,71070,Detelinara,Nova Detelinara,1.0,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",24,uknjiženo,u izgradnji,useljivo,2008.0,3,0
371,177200,Stari Grad,Kej,3.0,centralno grejanje,namešteno,ima lift (1),"frižider, šporet, ležaj",86,uknjiženo,u izgradnji,useljivo,2008.0,3,0
372,249260,Petrovaradin,Petrovaradin,4.0,podno grejanje,namešteno,ima lift (1),"frižider, šporet, ležaj",106,uknjiženo,u izgradnji,useljivo,2021.0,prizemlje,0
373,128750,Stari Grad,Centar,3.0,centralno grejanje,namešteno,ima lift (1),"frižider, šporet, ležaj",76,uknjiženo,u izgradnji,useljivo,2008.0,3,0
374,92700,Avijatičarsko Naselje,Avijatičarsko Naselje,3.5,grejanje na gas,namešteno,ima lift (1),"frižider, šporet, ležaj",90,uknjiženo,u izgradnji,useljivo,2010.0,2,0
375,168720,Klisa,Rare_var,4.0,grejanje na gas,namešteno,ima lift (1),"frižider, šporet, ležaj",117,uknjiženo,u izgradnji,useljivo,2013.0,visoko,0
376,56650,Novo Naselje,Novo Naselje,1.0,centralno grejanje,prazno,ima lift (1),"frižider, šporet, ležaj",28,uknjiženo,u izgradnji,useljivo,1993.0,3,0
377,91650,Telep,Telep,1.5,Rare_var,prazno,ima lift (1),"frižider, šporet, ležaj",42,uknjiženo,u izgradnji,useljivo,2008.0,1,0
378,180360,Salajka,Salajka,3.5,grejanje na gas,namešteno,ima lift (1),Rare_var,89,uknjiženo,novo,useljivo,2008.0,4,0
379,75000,Stari Grad,Rare_var,0.5,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",25,uknjiženo,uobičajeno stanje,useljivo,2000.0,3,0
380,463500,Adamovićevo Naselje,Cara Dušana,4.0,centralno grejanje,namešteno,ima lift (2),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",134,uknjiženo,luksuzno,useljivo,2010.0,6,0
381,127720,Bulevar Oslobođenja,Bulevar Oslobođenja,2.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",48,uknjiženo,luksuzno,useljivo,2010.0,2,0
382,154500,Bulevar Oslobođenja,Bulevar Oslobođenja,3.0,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",68,uknjiženo,luksuzno,useljivo,2010.0,1,0
383,166040,Rotkvarija,Socijalno,4.0,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",62,uknjiženo,luksuzno,useljivo,2010.0,3,0
384,418000,Sajmište,Rare_var,4.0,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",143,uknjiženo,uobičajeno stanje,useljivo,2010.0,1,0
385,164440,Grbavica,Grbavica,4.0,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",72,uknjiženo,uobičajeno stanje,useljivo,2010.0,6,0
386,96300,Avijatičarsko Naselje,Avijatičarsko Naselje,3.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",60,uknjiženo,uobičajeno stanje,useljivo,2021.0,5,0
387,106000,Rotkvarija,Socijalno,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",45,uknjiženo,uobičajeno stanje,useljivo,2021.0,1,0
388,294810,Telep,Rare_var,5.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",130,nije uknjiženo,u izgradnji,useljivo,2021.0,4,0
389,92700,Adamovićevo Naselje,Cara Dušana,1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",40,uknjiženo,u izgradnji,useljivo,2021.0,2,0
390,85000,Detelinara,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",38,uknjiženo,novo,useljivo,2021.0,4,0
391,309000,Telep,Rare_var,4.0,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska",96,uknjiženo,novo,useljivo,2021.0,4,0
392,180360,Salajka,Salajka,3.5,grejanje na gas,namešteno,ima lift (1),Rare_var,89,uknjiženo,novo,useljivo,2020.0,4,0
393,126700,Adamovićevo Naselje,Adamovićevo Naselje,3.0,centralno grejanje,polunamešteno,ima lift (1),"interfon, klima",87,uknjiženo,renovirano,useljivo,2020.0,3,0
394,85000,Detelinara,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",38,uknjiženo,renovirano,useljivo,2020.0,4,0
395,46350,Telep,Telep,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",23,uknjiženo,uobičajeno stanje,useljivo,2006.0,prizemlje,0
396,180360,Salajka,Salajka,3.5,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska",89,uknjiženo,novo,useljivo,2006.0,4,0
397,493740,Banatić,Železnička stanica,4.0,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",150,uknjiženo,novo,useljivo,2020.0,1,0
398,79850,Novo Naselje,Šarengrad,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",42,uknjiženo,novo,useljivo,1992.0,1,0
399,69000,Detelinara,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",24,uknjiženo,novo,useljivo,2008.0,3,0
400,85000,Detelinara,Nova Detelinara,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",38,uknjiženo,novo,useljivo,2008.0,4,0
401,80000,Grbavica,Rare_var,1.0,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",35,uknjiženo,novo,useljivo,2008.0,4,0
402,44500,Stari Grad,Centar,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",36,uknjiženo,uobičajeno stanje,useljivo,1900.0,suteren,0
403,133900,Adamovićevo Naselje,Cara Dušana,2.0,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",41,uknjiženo,novo,useljivo,1900.0,6,0
404,113300,Novo Naselje,Novo Naselje,3.0,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska",73,uknjiženo,uobičajeno stanje,useljivo,1900.0,2,0
405,85450,Stari Grad,Stari Grad,1.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska",31,uknjiženo,uobičajeno stanje,useljivo,1900.0,visoko,0
406,309000,Telep,Telep,4.0,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska",96,uknjiženo,novo,useljivo,1900.0,3,0
407,216290,Grbavica,Grbavica,4.0,centralno grejanje,polunamešteno,ima lift (1),"interfon, klima",106,uknjiženo,renovirano,useljivo,1900.0,2,0
408,94760,Grbavica,Rare_var,0.5,centralno grejanje,polunamešteno,ima lift (1),"interfon, klima",37,uknjiženo,uobičajeno stanje,useljivo,1900.0,2,0
409,164800,Podbara,Rare_var,2.5,centralno grejanje,prazno,ima lift (1),klima,72,uknjiženo,renovirano,useljivo,1900.0,1,0
410,152300,Telep,Telep,2.5,grejanje na gas,prazno,ima lift (1),klima,87,uknjiženo,renovirano,useljivo,1900.0,2,0
411,55600,Podbara,Rare_var,2.0,grejanje na struju,prazno,ima lift (1),klima,37,u procesu uknjižavanja,renovirano,useljivo,1900.0,2,0
412,159650,Adamovićevo Naselje,Adamovićevo Naselje,2.0,grejanje na struju,prazno,ima lift (1),klima,57,uknjiženo,u izgradnji,useljivo,1900.0,5,0
413,73130,Detelinara,Nova Detelinara,1.0,grejanje na struju,prazno,ima lift (1),klima,29,uknjiženo,uobičajeno stanje,useljivo,2006.0,visoko,0
414,247200,Petrovaradin,Rare_var,5.0,grejanje na struju,prazno,ima lift (1),klima,97,uknjiženo,uobičajeno stanje,useljivo,1910.0,visoko,0
415,46350,Rare_var,Rare_var,1.5,grejanje na struju,prazno,ima lift (1),klima,30,uknjiženo,u izgradnji,useljivo,1910.0,suteren,0
416,92700,Novo Naselje,Bistrica,2.0,grejanje na struju,prazno,ima lift (1),klima,55,uknjiženo,uobičajeno stanje,useljivo,1981.0,3,0
417,46500,Bulevar Oslobođenja,Bulevar Oslobođenja,0.5,grejanje na struju,prazno,ima lift (1),klima,30,uknjiženo,uobičajeno stanje,useljivo,2008.0,suteren,0
418,133900,Adamovićevo Naselje,Cara Dušana,2.0,centralno grejanje,namešteno,ima lift (1),klima,41,uknjiženo,novo,useljivo,2008.0,6,0
419,169950,Telep,Telep,4.5,grejanje na gas,prazno,ima lift (1),klima,75,u procesu uknjižavanja,u izgradnji,useljivo,2008.0,1,0
420,56650,Detelinara,Nova Detelinara,0.5,centralno grejanje,prazno,ima lift (1),klima,26,u procesu uknjižavanja,u izgradnji,useljivo,2014.0,5,0
421,90650,Petrovaradin,Petrovaradin,2.0,grejanje na gas,prazno,ima lift (1),klima,53,u procesu uknjižavanja,u izgradnji,useljivo,2021.0,1,0
422,59200,Stari Grad,Rare_var,0.5,centralno grejanje,prazno,ima lift (1),klima,24,u procesu uknjižavanja,u izgradnji,useljivo,2007.0,5,0
423,166000,Banatić,Železnička stanica,2.5,centralno grejanje,prazno,ima lift (1),klima,62,u procesu uknjižavanja,u izgradnji,useljivo,2012.0,3,0
424,144200,Novo Naselje,Bistrica,4.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",109,uknjiženo,renovirano,useljivo,2012.0,4,0
425,418000,Sajmište,Rare_var,4.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",143,uknjiženo,uobičajeno stanje,useljivo,2007.0,1,0
426,72900,Adice,Adice,2.0,podno grejanje,prazno,ima lift (1),"telefon, kablovska",43,nije uknjiženo,u izgradnji,useljivo,2007.0,1,0
427,114450,Petrovaradin,Petrovaradin,4.0,podno grejanje,prazno,ima lift (1),"telefon, kablovska",88,uknjiženo,u izgradnji,useljivo,2007.0,3,0
428,95000,Banatić,Železnička stanica,2.0,podno grejanje,prazno,ima lift (1),"telefon, kablovska",48,uknjiženo,uobičajeno stanje,useljivo,1972.0,visoko,0
429,309000,Telep,Telep,4.0,grejanje na gas,polunamešteno,ima lift (1),klima,96,uknjiženo,novo,useljivo,1972.0,3,0
430,85850,Adice,Adice,2.5,grejanje na gas,polunamešteno,ima lift (1),klima,51,nije uknjiženo,u izgradnji,useljivo,1972.0,2,0
431,57000,Detelinara,Nova Detelinara,0.5,centralno grejanje,polunamešteno,ima lift (1),klima,23,uknjiženo,uobičajeno stanje,useljivo,2000.0,5,0
432,66950,Detelinara,Nova Detelinara,0.5,centralno grejanje,polunamešteno,ima lift (1),klima,25,uknjiženo,uobičajeno stanje,useljivo,2006.0,visoko,0
433,84050,Stari Grad,Centar,1.5,centralno grejanje,namešteno,ima lift (1),klima,48,uknjiženo,uobičajeno stanje,useljivo,2006.0,6,0
434,51500,Rotkvarija,Socijalno,0.5,centralno grejanje,prazno,ima lift (1),Rare_var,26,uknjiženo,uobičajeno stanje,useljivo,2006.0,visoko,0
435,139050,Bulevar Oslobođenja,Bulevar Oslobođenja,3.0,centralno grejanje,prazno,ima lift (1),"kablovska, internet, klima",75,uknjiženo,renovirano,useljivo,1970.0,3,0
436,82400,Grbavica,Grbavica,2.0,centralno grejanje,prazno,ima lift (1),"kablovska, internet, klima",52,uknjiženo,renovirano,useljivo,1970.0,4,0
437,82400,Rotkvarija,Socijalno,1.0,grejanje na gas,prazno,ima lift (1),"kablovska, internet, klima",38,uknjiženo,renovirano,useljivo,1999.0,4,0
438,105000,Sajmište,Rare_var,2.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska",60,uknjiženo,renovirano,useljivo,2000.0,visoko,0
439,64210,Adice,Adice,1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",38,nije uknjiženo,u izgradnji,useljivo,2000.0,prizemlje,0
440,133800,Detelinara,Nova Detelinara,3.0,podno grejanje,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",64,nije uknjiženo,renovirano,useljivo,2000.0,visoko,0
441,309000,Telep,Telep,4.0,grejanje na gas,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",96,uknjiženo,novo,useljivo,2000.0,3,0
442,72100,Stari Grad,Centar,4.0,centralno grejanje,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",23,uknjiženo,novo,useljivo,2000.0,1,0
443,122550,Novo Naselje,Rare_var,3.0,centralno grejanje,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",65,uknjiženo,novo,useljivo,2000.0,1,0
444,90130,Stari Grad,Rare_var,1.5,centralno grejanje,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",35,uknjiženo,novo,useljivo,1965.0,1,0
445,125000,Stari Grad,Centar,2.0,grejanje na gas,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",49,uknjiženo,u izgradnji,useljivo,1965.0,1,0
446,123500,Stari Grad,Centar,2.5,grejanje na gas,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",48,uknjiženo,u izgradnji,useljivo,1965.0,3,0
447,188000,Stari Grad,Centar,3.0,grejanje na gas,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",73,uknjiženo,u izgradnji,useljivo,1965.0,4,0
448,147300,Stari Grad,Centar,2.5,grejanje na gas,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",57,uknjiženo,u izgradnji,useljivo,1965.0,3,0
449,60150,Veternik,Rare_var,2.5,grejanje na struju,prazno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",54,uknjiženo,novo,useljivo,1965.0,Rare_var,0
450,70200,Adice,Rare_var,2.0,grejanje na gas,prazno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",47,uknjiženo,novo,useljivo,1965.0,visoko,0
451,65000,Stari Grad,Centar,0.5,grejanje na gas,prazno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",26,uknjiženo,uobičajeno stanje,useljivo,2007.0,3,0
452,89000,Telep,Telep,2.5,grejanje na gas,prazno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",69,uknjiženo,uobičajeno stanje,useljivo,2007.0,prizemlje,0
453,58700,Bulevar Oslobođenja,Rare_var,1.0,centralno grejanje,prazno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",20,uknjiženo,renovirano,useljivo,2007.0,2,0
454,149350,Podbara,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",72,uknjiženo,renovirano,useljivo,2007.0,3,0
455,319000,Bulevar Oslobođenja,Rare_var,4.0,centralno grejanje,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",143,uknjiženo,renovirano,useljivo,2007.0,3,0
456,175100,Rotkvarija,Socijalno,4.0,centralno grejanje,prazno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",94,uknjiženo,renovirano,useljivo,2007.0,7,0
457,209000,Stari Grad,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",110,uknjiženo,potrebno renoviranje,useljivo,2007.0,2,0
458,99700,Grbavica,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),Rare_var,47,uknjiženo,novo,useljivo,2007.0,4,0
459,107450,Detelinara,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),Rare_var,46,uknjiženo,novo,useljivo,2007.0,2,0
460,69630,Podbara,Rare_var,1.0,grejanje na gas,namešteno,ima lift (1),Rare_var,26,uknjiženo,novo,useljivo,2007.0,4,0
461,103000,Stari Grad,Rare_var,2.0,centralno grejanje,namešteno,ima lift (1),Rare_var,41,uknjiženo,novo,useljivo,2010.0,1,0
462,129200,Stari Grad,Rare_var,3.0,centralno grejanje,namešteno,ima lift (1),Rare_var,66,uknjiženo,novo,useljivo,2010.0,1,0
463,71070,Detelinara,Rare_var,1.0,centralno grejanje,namešteno,ima lift (1),Rare_var,24,uknjiženo,novo,useljivo,2010.0,1,0
464,418000,Sajmište,Sajmište,5.0,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",143,uknjiženo,novo,useljivo,2010.0,1,0
465,67980,Bulevar Oslobođenja,Rare_var,0.5,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",23,uknjiženo,novo,useljivo,2010.0,1,0
466,418000,Sajmište,Sajmište,4.0,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",143,uknjiženo,uobičajeno stanje,useljivo,2010.0,1,0
467,80350,Petrovaradin,Petrovaradin,2.0,grejanje na gas,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",40,uknjiženo,u izgradnji,useljivo,2020.0,1,0
468,126500,Petrovaradin,Petrovaradin,3.0,grejanje na gas,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",64,uknjiženo,u izgradnji,useljivo,2020.0,1,0
469,80800,Petrovaradin,Petrovaradin,2.0,grejanje na gas,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",40,uknjiženo,u izgradnji,useljivo,2020.0,1,0
470,54350,Petrovaradin,Petrovaradin,0.5,grejanje na gas,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",27,uknjiženo,u izgradnji,useljivo,2020.0,1,0
471,55200,Petrovaradin,Petrovaradin,0.5,grejanje na gas,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",27,uknjiženo,u izgradnji,useljivo,2020.0,1,0
472,112000,Petrovaradin,Petrovaradin,3.0,grejanje na gas,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",57,uknjiženo,u izgradnji,useljivo,2020.0,1,0
473,71120,Petrovaradin,Petrovaradin,2.0,grejanje na gas,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",35,uknjiženo,u izgradnji,useljivo,2020.0,1,0
